name,channel,evidence,status,mass_low_ueV,mass_high_ueV,g_limit_GeV_inv,target_covered,excludes_photon_benchmark,source
Published haloscope envelope at target,axion-photon/local-DM,published direct search,OPEN_NO_PUBLISHED_DIRECT_SCAN,151.5,155.5,,false,false,AxionLimits combined published haloscope data checked 2026-08-02
CAST Xe run 2024,axion-photon/solar,published bound,OPEN_BOUND_TOO_WEAK,0,20000,5.8e-11,true,false,arXiv:2406.16840
Globular-cluster HB R parameter,axion-photon/stellar cooling,published bound,OPEN_BOUND_TOO_WEAK,0,100000,6.6e-11,true,false,arXiv:1406.6053
ORGAN Phase 1a,axion-photon/local-DM,published direct search,OPEN_PUBLISHED_WRONG_MASS,63,67,,false,false,arXiv:2203.12152
ORGAN Phase 1b,axion-photon/local-DM,published direct search,OPEN_PUBLISHED_WRONG_MASS,107.42,111.93,,false,false,arXiv:2310.00904
MADMAX prototype,axion-photon/local-DM,published direct search,OPEN_PUBLISHED_WRONG_MASS,76.56,79.53,2.0e-11,false,false,arXiv:2409.11777
GigaBREAD ALP search,axion-photon/local-DM,published direct search,OPEN_PUBLISHED_WRONG_MASS,44,52,,false,false,arXiv:2501.17119
QUAX-a-gamma,axion-photon/local-DM,published direct search,OPEN_PUBLISHED_WRONG_MASS,42,44,7.7e-14,false,false,arXiv:2012.09498
ALPHA full-scale projection,axion-photon/local-DM,projection,FUTURE_CAN_TEST,41.36,206.78,1.0e-14,true,false,arXiv:2210.00017
DALI projection,axion-photon/local-DM,projection,FUTURE_CAN_TEST,25,250,,true,false,arXiv:2303.03997
MADMAX full booster projection,axion-photon/local-DM,projection,FUTURE_CAN_TEST,40,400,,true,false,arXiv:1611.05865
ORGAN baseline projection,axion-photon/local-DM,projection,FUTURE_COVERS_BUT_NOT_DEEP_ENOUGH,62.2,207,3.0e-13,true,false,AxionLimits ORGAN projection
BREAD baseline projection,axion-photon/local-DM,projection,FUTURE_WRONG_MASS,200,830000,,false,false,arXiv:2111.12103
Supernova QCD-axion cooling,axion-nucleon/supernova,published bound,UNRESOLVED_MODEL_MATCHING,,,,true,false,arXiv:2306.01048 and arXiv:2410.19902
Red-giant and white-dwarf cooling,axion-electron/stellar cooling,published bound,UNRESOLVED_MODEL_MATCHING,,,,true,false,AxionLimits electron-coupling references
Relic abundance and local density,cosmology,interpretation assumption,CONTEXT_NOT_EXCLUSION,,,,true,false,post-inflation QCD-axion simulation literature
